categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpini Sportivi Under Armour,UNDER ARMOUR,PHANTOM FORE - Scarpe da golf - white/halo gray,"139,99","139,99",https://www.zalando.it/under-armour-phantom-fore-scarpe-da-golf-whitehalo-gray-un242a0nn-a11.html,PHANTOM FORE,Scarpe da golf,white/halo gray
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED ROGUE - Scarpe da camminata - bianco,"85,00","85,00",https://www.zalando.it/under-armour-sneakers-basse-bianco-un242a0pb-a11.html,CHARGED ROGUE,Scarpe da camminata,bianco
Scarpini Sportivi Under Armour,UNDER ARMOUR,SONIC 7 - Scarpe da camminata - black,"120,00","120,00",https://www.zalando.it/under-armour-scarpe-da-camminata-black-un242a0oq-q11.html,SONIC 7,Scarpe da camminata,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da corsa su strada - white/electric blue/anthracite,"129,99","129,99",https://www.zalando.it/under-armour-infinite-pro-2-scarpe-running-neutre-whiteelectric-blueanthracite-un242a0nd-a11.html,INFINITE PRO 2,Scarpe da corsa su strada,white/electric blue/anthracite
Scarpini Sportivi Under Armour,UNDER ARMOUR,DYNAMIC 2 - Scarpe da allenamento - silica green,"99,99","99,99",https://www.zalando.it/under-armour-dynamic-2-scarpe-da-allenamento-silica-green-un242a0np-m11.html,DYNAMIC 2,Scarpe da allenamento,silica green
Scarpini Sportivi Under Armour,UNDER ARMOUR,SPEEDFORM GEMINI - Scarpe da corsa su strada - black,"130,00","130,00",https://www.zalando.it/under-armour-sneakers-basse-black-un244a03b-q11.html,SPEEDFORM GEMINI,Scarpe da corsa su strada,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,SONIC 7 - Scarpe da camminata - white,"120,00","120,00",https://www.zalando.it/under-armour-scarpe-da-camminata-white-un242a0oq-a11.html,SONIC 7,Scarpe da camminata,white
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - halo gray,"160,00","160,00",https://www.zalando.it/under-armour-infinite-elite-2-scarpe-da-corsa-su-strada-halo-gray-un242a0n9-c11.html,INFINITE ELITE 2,Scarpe da corsa su strada,halo gray
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED PURSUIT 4 - Scarpe da corsa su strada - black,"69,99","69,99",https://www.zalando.it/under-armour-charged-pursuit-4-scarpe-da-corsa-su-strada-black-un242a0nb-q12.html,CHARGED PURSUIT 4,Scarpe da corsa su strada,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - black,"160,00","160,00",https://www.zalando.it/under-armour-infinite-elite-scarpe-da-corsa-su-strada-black-un242a0n9-q11.html,INFINITE ELITE 2,Scarpe da corsa su strada,black
