categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpini Sportivi Taglia 47,PUMA,ULTRA 5 ULTIMATE MXSG - Scarpe da calcio con tacchetti - fizzy apple/white/bluemazing,"114,99","229,99",https://www.zalando.it/puma-ultra-5-ultimate-mxsg-scarpe-da-calcio-con-tacchetti-fizzy-applewhitebluemazing-pu142a1sy-m11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-NIMBUS 26 - Scarpe da corsa su strada - black graphite grey,"160,00","200,00",https://www.zalando.it/asics-sneakers-basse-black-graphite-grey-as142a151-q11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE - Scarpe da corsa su strada - mod gray,"100,00","100,00",https://www.zalando.it/under-armour-infinite-scarpe-da-corsa-su-strada-mod-gray-un242a0mg-c11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FUTURE 7 ULTIMATE LOW FG/AG - Scarpe da calcetto con tacchetti - bluemazing/white/electric peppermint,"193,16","229,95",https://www.zalando.it/puma-future-7-ultimate-low-fgag-scarpe-da-calcetto-con-tacchetti-bluemazingwhiteelectric-peppermint-pu142a1ud-k11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-NIMBUS 27 TR - Scarpe da corsa su strada - nature bathing lime green,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-tr-scarpe-da-corsa-su-strada-nature-bathing-lime-green-as142a184-m11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,VELOCITI 4 SE - Scarpe da corsa su strada - white/hyper green,"129,99","129,99",https://www.zalando.it/under-armour-velociti-4-se-scarpe-da-corsa-su-strada-whitehyper-green-un242a0mh-a12.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - black/anthracite/tetra gray,"139,99","139,99",https://www.zalando.it/under-armour-infinite-pro-trail-scarpe-da-trail-running-blackanthracitetetra-gray-un242a0mq-q11.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,FRESH X MORE V4 - Scarpe da corsa su strada - ice blue,"169,99","169,99",https://www.zalando.it/new-balance-fresh-foam-x-more-v5-scarpe-da-corsa-su-strada-ice-blue-ne242a0hg-k17.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-VENTURE 10 - Scarpe da corsa su strada - black/rainy lake,"79,99","79,99",https://www.zalando.it/asics-gel-venture-10-scarpe-da-corsa-su-strada-blackrainy-lake-as142a17t-q12.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - black,"160,00","160,00",https://www.zalando.it/under-armour-infinite-elite-scarpe-da-corsa-su-strada-black-un242a0n9-q11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,POPCAT UNISEX - Ciabatte da mare - black/white,"25,00","25,00",https://www.zalando.it/puma-ciabattine-blackwhite-pu115i000-q11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-CUMULUS 27 - Scarpe da corsa su strada - wave teal/illuminate mint,"159,99","159,99",https://www.zalando.it/asics-gel-cumulus-27-scarpe-da-corsa-su-strada-wave-tealilluminate-mint-as142a17x-k11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-PULSE 16 - Scarpe da corsa su strada - illuminate mint/wave teal,"109,99","109,99",https://www.zalando.it/asics-scarpe-da-trail-running-illuminate-mintwave-teal-as142a17s-p11.html?size=47
Scarpini Sportivi Taglia 47,MIZUNO,MORELIA II PRO AG - Scarpe da calcetto con tacchetti - galaxy silver/gold,"119,99","119,99",https://www.zalando.it/mizuno-scarpe-da-calcetto-con-tacchetti-galaxy-silvergold-m2742a0k4-d11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,MAGNIFY NITRO - Scarpe da trail running - puma black aquatic blue crystal,"149,99","149,99",https://www.zalando.it/puma-magnify-nitro-scarpe-da-trail-running-puma-black-aquatic-blue-crystal-pu142a1y8-q11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - ares red/castlerock/black,"159,99","159,99",https://www.zalando.it/under-armour-infinite-elite-2-scarpe-da-corsa-su-strada-ares-redcastlerockblack-un242a0n9-g11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GT-2000 13 LITE-SHOW UNISEX - Scarpe da corsa su strada - light blue,"159,99","159,99",https://www.zalando.it/asics-gt-2000-13-lite-show-unisex-scarpe-da-corsa-su-strada-light-blue-as142a183-k11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,DYNABLAST 5 - Sneakers basse - carbon/black,"129,99","129,99",https://www.zalando.it/asics-dynablast-5-scarpe-da-corsa-su-strada-carbonblack-as142a17n-c11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GT-1000 13 - Scarpe da corsa su strada - indigo blue white,"130,00","130,00",https://www.zalando.it/asics-scarpe-da-corsa-su-strada-indigo-blue-white-as142a172-k12.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL NIMBUS  - Scarpe da corsa su strada - illuminate mint/white,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-scarpe-da-corsa-su-strada-illuminate-mintwhite-as142a18d-k11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,RETALIATE 3 - Scarpe da corsa su strada - black white,"60,00","60,00",https://www.zalando.it/puma-sneakers-basse-black-white-pu115o0wk-q11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,VELOCITY NITRO - Scarpe da corsa su strada - black yellow alert,"129,99","129,99",https://www.zalando.it/puma-velocity-nitro-3-scarpe-da-corsa-su-strada-blackyellow-alert-pu142a1ra-q11.html?size=47
Scarpini Sportivi Taglia 47,PUMA GOLF,IGNITE ELEVATE 25 - Scarpe da golf - white/deep navy,"149,99","149,99",https://www.zalando.it/puma-golf-ignite-elevate-25-scarpe-da-golf-whitedeep-navy-pu542a03y-a11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,VELOCITI 4 SE - Scarpe da corsa su strada - black/anthracite/ares red,"129,99","129,99",https://www.zalando.it/under-armour-velociti-4-se-scarpe-da-corsa-su-strada-blackanthraciteares-red-un242a0mh-q12.html?size=47
Scarpini Sportivi Taglia 47,PUMA,ELECTRIFY NITRO 3 - Scarpe da corsa su strada - black/silver,"84,95","109,95",https://www.zalando.it/puma-electrify-nitro-3-scarpe-running-neutre-blacksilver-pu142a1kt-q13.html?size=47
Scarpini Sportivi Taglia 47,PUMA GOLF,FUSION BLUR - Scarpe da golf - white/black,"99,99","99,99",https://www.zalando.it/puma-golf-fusion-blur-scarpe-da-golf-whiteblack-pu542a03x-a11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,VELOCITY NITRO 3 - Scarpe da corsa su strada - yellow alert puma black,"129,95","129,95",https://www.zalando.it/puma-velocity-nitro-3-scarpe-da-corsa-su-strada-yellow-alert-puma-black-pu142a1ya-e11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GT-1000 13 - Scarpe da corsa su strada - black safety yellow,"117,00","130,00",https://www.zalando.it/asics-sneakers-basse-black-safety-yellow-as142a172-q11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FUTURE 7 ULTIMATE FG/AG - Scarpe da calcetto con tacchetti - gray skies/white/fizzy apple,"184,00","230,00",https://www.zalando.it/puma-future-7-ultimate-fgag-scarpe-da-calcetto-con-tacchetti-gray-skieswhitefizzy-apple-pu142a1tf-k12.html?size=47
Scarpini Sportivi Taglia 47,ASICS,FUJI SPEED 3 - Scarpe da trail running - nova orange/pure aqua,"179,99","179,99",https://www.zalando.it/asics-fuji-speed-3-scarpe-da-trail-running-nova-orangepure-aqua-as142a15x-h11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,ALL-PRO NITRO - Scarpe da basket - rose gold/orange alert,"91,00","130,00",https://www.zalando.it/puma-all-pro-nitro-scarpe-da-basket-rose-goldorange-alert-pu142a1qv-f11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,Scarpe da corsa su strada - white distant gray halo gray,"95,97","160,00",https://www.zalando.it/under-armour-scarpe-running-neutre-white-distant-gray-halo-gray-un242a0n1-a11.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,HESI LOW - Scarpe da basket - sunfade red,"119,99","119,99",https://www.zalando.it/new-balance-hesi-low-scarpe-da-basket-sunfade-red-ne242a0o5-j11.html?size=47
