categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpini Sportivi Under Armour,UNDER ARMOUR,COURT PERFORMANCE FLOW FUTR X ELITE LUX - Scarpe da basket - black (001),"89,97","150,00",https://www.zalando.it/under-armour-court-performance-scarpe-da-basket-black-001-un242a0nr-q11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,CURRY 4 FLOTRO - Scarpe da basket - black,"140,00","140,00",https://www.zalando.it/under-armour-curry-flotro-scarpe-da-basket-black-un244a02q-q11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,SHADOW TURF 2.0 - Scarpe da calcetto con tacchetti - hornet/golden yellow/clay green,"43,99","79,99",https://www.zalando.it/under-armour-shadow-turf-20-scarpe-da-calcetto-con-tacchetti-hornetgolden-yellowclay-green-un242a0lq-e11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,CURRY 11 MOUTHGUARD - Scarpe da basket - sky blue,"170,00","170,00",https://www.zalando.it/under-armour-scarpe-da-basket-sky-blue-un244a02w-k11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,MAGNETICO SELECT 4 FG - Scarpe da calcetto con tacchetti - taxi/black,"43,99","79,99",https://www.zalando.it/under-armour-magnetico-select-4-fg-scarpe-da-calcetto-con-tacchetti-taxiblack-un242a0mr-e11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 - Scarpe da basket - red,"75,00","75,00",https://www.zalando.it/under-armour-performance-lockdown-scarpe-da-basket-red-un244a02y-g12.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,JET '23 - Scarpe da basket - gray,"56,00","80,00",https://www.zalando.it/under-armour-jet-23-scarpe-da-basket-gray-un242a0lg-c11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED DRAW 2 - Scarpe da golf - halo gray,"107,97","120,00",https://www.zalando.it/under-armour-under-armour-sneaker-scarpe-da-golf-halo-gray-un212o00c-c11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,CURRY CHAMPION MINDSET - Scarpe da basket - lemon ice,"149,00","170,00",https://www.zalando.it/under-armour-scarpe-da-basket-lemon-ice-un244a02g-m11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 - Scarpe da basket - black,"90,90","90,90",https://www.zalando.it/under-armour-court-performance-lockdown-scarpe-da-basket-black-un244a02y-q11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,FLOW FUTR X 4 - Scarpe da basket - black/white,"101,99","119,99",https://www.zalando.it/under-armour-scarpe-da-basket-blackwhite-un242a0mp-q11.html
