,categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
80,Scarpini Sportivi Under Armour,UNDER ARMOUR,MAGNETICO ELITE 4 FG - Scarpe da calcetto con tacchetti - black,209.96,249.95,https://www.zalando.it/under-armour-stivaletti-con-la-zeppa-black-un242a0nq-q11.html,MAGNETICO ELITE 4 FG,Scarpe da calcetto con tacchetti,black
81,Scarpini Sportivi Under Armour,UNDER ARMOUR,MAGNETICO SELECT 4 FG - Scarpe da calcetto con tacchetti - silica green/high vis yellow,79.99,79.99,https://www.zalando.it/under-armour-magnetico-select-4-fg-scarpe-da-calcetto-con-tacchetti-silica-greenhigh-vis-yellow-un242a0mr-m11.html,MAGNETICO SELECT 4 FG,Scarpe da calcetto con tacchetti,silica green/high vis yellow
82,Scarpini Sportivi Under Armour,UNDER ARMOUR,VISUAL CUSH FORGE UNISEX - Scarpe da corsa su strada - white,90.97,130.0,https://www.zalando.it/under-armour-sneakers-basse-white-un244a02o-a11.html,VISUAL CUSH FORGE UNISEX,Scarpe da corsa su strada,white
83,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da corsa su strada - black/anthracite/white,129.99,129.99,https://www.zalando.it/under-armour-infinite-pro-2-scarpe-running-neutre-blackanthracitewhite-un242a0nd-q11.html,INFINITE PRO 2,Scarpe da corsa su strada,black/anthracite/white
84,Scarpini Sportivi Under Armour,UNDER ARMOUR,FLOW FUTR X UNISEX - Scarpe da basket - black/castlerock/blaze orange,119.99,119.99,https://www.zalando.it/under-armour-flow-futr-x-unisex-scarpe-da-basket-blackcastlerockblaze-orange-un242a0nk-q11.html,FLOW FUTR X UNISEX,Scarpe da basket,black/castlerock/blaze orange
85,Scarpini Sportivi Under Armour,UNDER ARMOUR,SPAWN 6 MID - Scarpe da basket - mod gray (100),120.0,120.0,https://www.zalando.it/under-armour-performance-spawn-scarpe-da-basket-mod-gray-100-un244a032-c11.html,SPAWN 6 MID,Scarpe da basket,mod gray (100)
86,Scarpini Sportivi Under Armour,UNDER ARMOUR,MAGNETICO ELITE 4 - Scarpe da calcetto con tacchetti - silica green/high vis yellow,249.99,249.99,https://www.zalando.it/under-armour-magnetico-elite-4-scarpe-da-calcetto-con-tacchetti-silica-greenhigh-vis-yellow-un242a0nc-m11.html,MAGNETICO ELITE 4,Scarpe da calcetto con tacchetti,silica green/high vis yellow
87,Scarpini Sportivi Under Armour,UNDER ARMOUR,APPARITION - Scarpe da allenamento - black/metallic black/castlerock,129.99,129.99,https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-blackmetallic-blackcastlerock-un244a02c-q11.html,APPARITION,Scarpe da allenamento,black/metallic black/castlerock
88,Scarpini Sportivi Under Armour,UNDER ARMOUR,FUTR X ELITE - Scarpe da basket - andromeda purple,150.0,150.0,https://www.zalando.it/under-armour-sneakers-alte-andromeda-purple-un244a03j-i11.html,FUTR X ELITE,Scarpe da basket,andromeda purple
89,Scarpini Sportivi Under Armour,UNDER ARMOUR,FAT TIRE VENTURE PRO UNISEX - Scarpe da allenamento - timberwolf taupe/federal tan/metallic silver,97.99,139.99,https://www.zalando.it/under-armour-fat-tire-venture-pro-unisex-scarpe-da-allenamento-timberwolf-taupefederal-tanmetallic-silver-un244a02z-b11.html,FAT TIRE VENTURE PRO UNISEX,Scarpe da allenamento,timberwolf taupe/federal tan/metallic silver
