,Unnamed: 0,categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
7032,7172,Scarpe Sportive,41.0,uomo,JOMA,BRESTON - Scarpe da pallamano - white/black/yellow,104.99,104.99,https://www.zalando.it/joma-breston-scarpe-da-pallamano-whiteblackyellow-j3342a0l4-a11.html?size=41,BRESTON,scarpe da pallamano,white/black/yellow
7033,7173,Scarpe Sportive,41.0,uomo,PUMA,VOYAGE NITRO  - Scarpe da trail running - velvet moss loden green,140.0,140.0,https://www.zalando.it/puma-voyage-nitro-scarpe-da-trail-running-velvet-moss-loden-green-pu142a1xw-o11.html?size=41,VOYAGE NITRO,scarpe da trail running,velvet moss loden green
7034,7174,Scarpe Sportive,41.0,uomo,MIZUNO,WAVE MOMENTUM 3 UNISEX - Scarpe da pallavolo - neo mint/black/frontier blue,152.99,169.99,https://www.zalando.it/mizuno-wave-momentum-3-unisex-scarpe-da-pallavolo-neo-mintblackfrontier-blue-m2744a00s-m11.html?size=41,WAVE MOMENTUM 3 UNISEX,scarpe da pallavolo,neo mint/black/frontier blue
7035,7175,Scarpe Sportive,41.0,uomo,PUMA,ULTRA PRO FG/AG - Scarpe da calcetto con tacchetti - sun stream/black/sunset glow,117.56,139.95,https://www.zalando.it/puma-ultra-pro-fgag-scarpe-da-calcetto-con-tacchetti-sun-streamblacksunset-glow-pu142a1pv-e11.html?size=41,ULTRA PRO FG/AG,scarpe da calcetto con tacchetti,sun stream/black/sunset glow
7036,7176,Scarpe Sportive,41.0,uomo,PUMA,AVANT RUGBY - Scarpa da rugby - green glare  black galactic gray,85.0,85.0,https://www.zalando.it/puma-avant-scarpa-da-rugby-green-glare-black-galactic-gray-pu142a22o-m11.html?size=41,AVANT RUGBY,scarpa da rugby,green glare  black galactic gray
7037,7177,Scarpe Sportive,41.0,uomo,MIZUNO,WAVE RIDER 28 - Scarpe da corsa su strada - black/white/evening primrose,159.99,159.99,https://www.zalando.it/mizuno-wave-rider-28-scarpe-da-corsa-su-strada-blackwhiteevening-primrose-m2742a0ja-q12.html?size=41,WAVE RIDER 28,scarpe da corsa su strada,black/white/evening primrose
7038,7178,Scarpe Sportive,41.0,uomo,PUMA,VELOCITY NITRO - Scarpe da corsa su strada - black/dark gray,129.99,129.99,https://www.zalando.it/puma-velocity-nitro-scarpe-da-corsa-su-strada-blackdark-gray-pu142a1yb-q11.html?size=41,VELOCITY NITRO,scarpe da corsa su strada,black/dark gray
7039,7179,Scarpe Sportive,41.0,uomo,PUMA,FUTURE 8 ULTIMATE - Scarpe da calcetto con tacchetti - black cool light gray fluo green,179.95,229.95,https://www.zalando.it/puma-future-8-ultimate-fg-scarpe-da-calcetto-con-tacchetti-black-cool-light-gray-fluo-green-pu142a1w1-q12.html?size=41,FUTURE 8 ULTIMATE,scarpe da calcetto con tacchetti,black cool light gray fluo green
7040,7180,Scarpe Sportive,41.0,uomo,UNDER ARMOUR,PHANTOM 4 UNISEX - Scarpe da corsa su strada - white/halo gray,129.99,129.99,https://www.zalando.it/under-armour-phantom-4-unisex-scarpe-da-allenamento-whitehalo-gray-un244a028-c11.html?size=41,PHANTOM 4 UNISEX,scarpe da corsa su strada,white/halo gray
7041,7181,Scarpe Sportive,41.0,uomo,PUMA,SNEAKER - Scarpe da corsa su strada - ocean tropic lime pow  silver,104.0,130.0,https://www.zalando.it/puma-sneakers-basse-ocean-tropic-lime-pow-silver-pu112o0oh-k11.html?size=41,SNEAKER,scarpe da corsa su strada,ocean tropic lime pow  silver
7042,7182,Scarpe Sportive,41.0,uomo,JOMA,SUPERCOPA - Scarpe da calcetto con tacchetti - white,54.99,54.99,https://www.zalando.it/joma-supercopa-scarpe-da-calcetto-con-tacchetti-white-j3342a0m5-a11.html?size=41,SUPERCOPA,scarpe da calcetto con tacchetti,white
7043,7183,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 MATCH LACELESS FG/AG - Scarpe da calcetto con tacchetti - black/white,56.99,94.99,https://www.zalando.it/puma-ultra-5-match-fgag-scarpe-da-calcetto-con-tacchetti-blackwhite-pu142a1u9-q11.html?size=41,ULTRA 5 MATCH LACELESS FG/AG,scarpe da calcetto con tacchetti,black/white
7044,7184,Scarpe Sportive,41.0,uomo,JOMA,SUPERCOPA - Scarpe da calcetto con tacchetti - white,54.99,54.99,https://www.zalando.it/joma-supercopa-scarpe-da-calcetto-con-tacchetti-white-j3342a0lo-a11.html?size=41,SUPERCOPA,scarpe da calcetto con tacchetti,white
7045,7185,Scarpe Sportive,41.0,uomo,PUMA,DARTER PRO - Scarpe da corsa su strada - black yellow alert white,63.95,80.0,https://www.zalando.it/puma-sneakers-basse-black-yellow-alert-white-zzo32y902-e00.html?size=41,DARTER PRO,scarpe da corsa su strada,black yellow alert white
7046,7186,Scarpe Sportive,41.0,uomo,PUMA GOLF,AVANT - Scarpe da golf - white feather gray black,180.0,180.0,https://www.zalando.it/puma-golf-avant-scarpe-da-golf-white-feather-gray-black-pu542a03q-a13.html?size=41,AVANT,scarpe da golf,white feather gray black
7047,7187,Scarpe Sportive,41.0,uomo,PUMA,VANTAGE NITRO - Scarpe da pallamano - white/blue horizon/fizzy apple,119.99,149.99,https://www.zalando.it/puma-vantage-nitro-scarpe-da-pallamano-whiteblue-horizonfizzy-apple-pu142a1t6-a11.html?size=41,VANTAGE NITRO,scarpe da pallamano,white/blue horizon/fizzy apple
7048,7188,Scarpe Sportive,41.0,uomo,PUMA,VOYAGE NITRO  - Scarpe da trail running - black- silver,140.0,140.0,https://www.zalando.it/puma-voyage-nitro-scarpe-da-trail-running-black-silver-pu142a1xw-q11.html?size=41,VOYAGE NITRO,scarpe da trail running,black- silver
7049,7189,Scarpe Sportive,41.0,uomo,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - black,160.0,160.0,https://www.zalando.it/under-armour-infinite-elite-scarpe-da-corsa-su-strada-black-un242a0n9-q11.html?size=41,INFINITE ELITE 2,scarpe da corsa su strada,black
7050,7190,Scarpe Sportive,41.0,uomo,PUMA,KING MATCH FG/AG - Scarpe da calcetto con tacchetti - glowing red/white/red fire,47.99,79.99,https://www.zalando.it/puma-king-match-fgag-scarpe-da-calcetto-con-tacchetti-glowing-redwhitered-fire-pu142a1wy-g11.html?size=41,KING MATCH FG/AG,scarpe da calcetto con tacchetti,glowing red/white/red fire
7051,7191,Scarpe Sportive,41.0,uomo,PUMA,FOREVERRUN NITRO - Scarpe da trail running - black galactic gray,160.0,160.0,https://www.zalando.it/puma-scarpe-da-trail-running-black-galactic-gray-pu142a23j-q12.html?size=41,FOREVERRUN NITRO,scarpe da trail running,black galactic gray
7052,7192,Scarpe Sportive,41.0,uomo,PUMA GOLF,AVANT - Scarpe da golf - white/ash gray,150.0,150.0,https://www.zalando.it/puma-golf-avant-scarpe-da-golf-whiteash-gray-pu542a03q-a12.html?size=41,AVANT,scarpe da golf,white/ash gray
7053,7193,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 MATCH IT - Scarpe da calcetto - white/black/glowing red,50.99,84.99,https://www.zalando.it/puma-ultra-5-match-it-scarpe-da-calcetto-whiteblackglowing-red-pu142a1wo-a11.html?size=41,ULTRA 5 MATCH IT,scarpe da calcetto,white/black/glowing red
7054,7194,Scarpe Sportive,41.0,uomo,PUMA,KING MATCH UNISEX - Scarpe da calcetto - glowing red white red fire,80.0,80.0,https://www.zalando.it/puma-king-match-unisex-scarpe-da-calcetto-glowing-red-white-red-fire-pu144a0dt-g11.html?size=41,KING MATCH UNISEX,scarpe da calcetto,glowing red white red fire
7055,7195,Scarpe Sportive,41.0,uomo,PUMA GOLF,FUSION CRUSH   - Scarpe da golf - white deep navy gum,99.99,99.99,https://www.zalando.it/puma-golf-fusion-crush-scarpe-da-golf-white-deep-navy-gum-pu542a03s-a12.html?size=41,FUSION CRUSH,scarpe da golf,white deep navy gum
7056,7196,Scarpe Sportive,41.0,uomo,PUMA GOLF,IGNITE ELEVATE 25 X - Scarpe da golf - white/deep navy/modern mint,159.99,159.99,https://www.zalando.it/puma-golf-ignite-elevate-25-x-scarpe-da-golf-whitedeep-navymodern-mint-pu542a041-a11.html?size=41,IGNITE ELEVATE 25 X,scarpe da golf,white/deep navy/modern mint
7057,7197,Scarpe Sportive,41.0,uomo,MIZUNO,WAVE LUMINOUS 3 - Scarpe da pallavolo - white/bellwether blue/bel air blue,134.99,149.99,https://www.zalando.it/mizuno-wave-luminous-3-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0ij-a12.html?size=41,WAVE LUMINOUS 3,scarpe da pallavolo,white/bellwether blue/bel air blue
7058,7198,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 MATCH MG - Scarpe da calcetto con tacchetti - fizzy apple/white/bluemazing,49.78,85.0,https://www.zalando.it/puma-ultra-5-match-mg-scarpe-da-calcetto-con-tacchetti-fizzy-applewhitebluemazing-pu142a1uj-m11.html?size=41,ULTRA 5 MATCH MG,scarpe da calcetto con tacchetti,fizzy apple/white/bluemazing
7059,7199,Scarpe Sportive,41.0,uomo,PUMA,FUTURE 8 MATCH LOW - Scarpe da calcetto con tacchetti - black/white/glowing red,50.99,84.99,https://www.zalando.it/puma-future-8-match-low-scarpe-da-calcetto-con-tacchetti-blackwhiteglowing-red-pu142a1x2-q11.html?size=41,FUTURE 8 MATCH LOW,scarpe da calcetto con tacchetti,black/white/glowing red
7060,7200,Scarpe Sportive,41.0,uomo,MIZUNO,WAVE LIGHTNING Z8 - Scarpe da pallavolo - neo lime/black/splish splash,133.07,160.0,https://www.zalando.it/mizuno-wave-lightning-z8-scarpe-da-pallavolo-neo-limeblacksplish-splash-m2742a0hv-m11.html?size=41,WAVE LIGHTNING Z8,scarpe da pallavolo,neo lime/black/splish splash
7061,7201,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 ULTIMATE - Scarpe da calcetto con tacchetti - lack/silver/bright aqua,184.99,229.99,https://www.zalando.it/puma-ultra-5-ultimate-fg-scarpe-da-calcetto-con-tacchetti-lacksilverbright-aqua-pu142a1wi-q11.html?size=41,ULTRA 5 ULTIMATE,scarpe da calcetto con tacchetti,lack/silver/bright aqua
7062,7202,Scarpe Sportive,41.0,uomo,UNDER ARMOUR,CURRY SPLASH 24 SDE - Scarpe da basket - white,110.0,110.0,https://www.zalando.it/under-armour-scarpe-da-basket-white-un244a035-a11.html?size=41,CURRY SPLASH 24 SDE,scarpe da basket,white
7063,7203,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 PRO - Scarpe da calcetto con tacchetti - black/silver/bright aqua,83.99,139.99,https://www.zalando.it/puma-ultra-5-pro-fgag-scarpe-da-calcetto-con-tacchetti-blacksilverbright-aqua-pu142a1wv-q11.html?size=41,ULTRA 5 PRO,scarpe da calcetto con tacchetti,black/silver/bright aqua
7064,7204,Scarpe Sportive,41.0,uomo,PUMA,MAGNIFY NITRO - Scarpe da trail running - puma black aquatic blue crystal,149.99,149.99,https://www.zalando.it/puma-magnify-nitro-scarpe-da-trail-running-puma-black-aquatic-blue-crystal-pu142a1y8-q11.html?size=41,MAGNIFY NITRO,scarpe da trail running,puma black aquatic blue crystal
