,categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
654,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da camminata - black,130.0,130.0,https://www.zalando.it/under-armour-scarpe-da-camminata-black-un242a0ou-q11.html?size=47,INFINITE PRO 2,scarpe da camminata,black
655,Scarpe Sportive,47.0,Uomo,ASICS,JOLT 5 - Scarpe da corsa su strada - indigo blue/amber,58.5,65.0,https://www.zalando.it/asics-jolt-5-scarpe-da-corsa-su-strada-indigo-blueamber-as142a180-k11.html?size=47,JOLT 5,scarpe da corsa su strada,indigo blue/amber
656,Scarpe Sportive,47.0,Uomo,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - black/graphite grey,69.99,69.99,https://www.zalando.it/asics-gel-contend-9-scarpe-running-neutre-blackgraphite-grey-as142a162-q12.html?size=47,GEL contend 9,Scarpe da corsa su strada,black/graphite grey
657,Scarpe Sportive,47.0,Uomo,PUMA,ULTRA 5 MATCH - Scarpe da calcetto con tacchetti - white/black/glowing red,56.99,94.99,https://www.zalando.it/puma-ultra-5-match-fgag-scarpe-da-calcetto-con-tacchetti-whiteblackglowing-red-pu142a1ww-a11.html?size=47,ULTRA 5 MATCH,scarpe da calcetto con tacchetti,white/black/glowing red
658,Scarpe Sportive,47.0,Uomo,PUMA,FUTURE 8 ULTIMATE - Scarpe da calcetto con tacchetti - black/white/glowing red,184.99,229.99,https://www.zalando.it/puma-future-8-ultimate-ag-scarpe-da-calcetto-con-tacchetti-blackwhiteglowing-red-pu142a1wj-q11.html?size=47,FUTURE 8 ULTIMATE,scarpe da calcetto con tacchetti,black/white/glowing red
659,Scarpe Sportive,47.0,Uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - island pink tart cherry white,45.95,65.0,https://www.zalando.it/puma-caven-20-sneakers-basse-island-pink-tart-cherry-white-pu115o0nn-j11.html?size=47,CAVEN 2.0 UNISEX,scarpe da basket,island pink tart cherry white
660,Scarpe Sportive,47.0,Uomo,ASICS,GEL-PULSE 16 - Scarpe da corsa su strada - black carrier grey,99.0,110.0,https://www.zalando.it/asics-sneakers-basse-black-carrier-grey-as112p003-q11.html?size=47,GEL pulse 16,Scarpe da corsa su strada,black carrier grey
661,Scarpe Sportive,47.0,Uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black/green moon/white,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-blackgreen-moonwhite-pu144a0cq-q11.html?size=47,PWR HYBRID TR UNISEX,scarpe da allenamento,black/green moon/white
662,Scarpe Sportive,47.0,Uomo,PUMA,FUTURE 8 ULTIMATE LOW - Scarpe da calcetto con tacchetti - black cool light gray fluo green,184.99,229.99,https://www.zalando.it/puma-future-8-ultimate-low-fg-scarpe-da-calcetto-con-tacchetti-black-cool-light-gray-fluo-green-pu142a1wc-q11.html?size=47,FUTURE 8 ULTIMATE LOW,scarpe da calcetto con tacchetti,black cool light gray fluo green
663,Scarpe Sportive,47.0,Uomo,ASICS,GEL-DEDICATE 8 - Scarpe da tennis per tutte le superfici - white/saxon green,66.99,74.99,https://www.zalando.it/asics-gel-dedicate-8-scarpe-da-tennis-per-tutte-le-superfici-whitesaxon-green-as142a10u-a13.html?size=47,GEL dedicate 8,Scarpe da tennis per tutte le superfici,white/saxon green
664,Scarpe Sportive,47.0,Uomo,MIZUNO,WAVE LIGHTNING Z8 MID - Scarpe da pallavolo - black/neon flame/peacock blue,152.99,169.99,https://www.zalando.it/mizuno-wave-lightning-z8-mid-scarpe-da-pallavolo-blackneon-flamepeacock-blue-m2742a0ho-q11.html?size=47,WAVE LIGHTNING Z8 MID,scarpe da pallavolo,black/neon flame/peacock blue
665,Scarpe Sportive,47.0,Uomo,ASICS,VERSABLAST 4 - Scarpe da corsa su strada - black/carrier grey,79.99,79.99,https://www.zalando.it/asics-versablast-4-scarpe-da-corsa-su-strada-blackcarrier-grey-as142a17m-q11.html?size=47,VERSABLAST 4,scarpe da corsa su strada,black/carrier grey
666,Scarpe Sportive,47.0,Uomo,PUMA,KING MATCH FG/AG - Scarpe da calcetto con tacchetti - frosted dew/fizzy apple/gray skies,39.99,79.99,https://www.zalando.it/puma-king-match-fgag-scarpe-da-calcetto-con-tacchetti-frosted-dewfizzy-applegray-skies-pu142a1t3-c11.html?size=47,KING MATCH FG/AG,scarpe da calcetto con tacchetti,frosted dew/fizzy apple/gray skies
667,Scarpe Sportive,47.0,Uomo,PUMA,DAGGER UNISEX - Scarpe da basket - team royal/clyde royal,59.95,85.0,https://www.zalando.it/puma-dagger-scarpe-da-basket-team-royal-clyde-royal-pu142a1xk-k11.html?size=47,DAGGER UNISEX,scarpe da basket,team royal/clyde royal
668,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,FLOW FUTR X UNISEX - Scarpe da basket - black/castlerock/blaze orange,119.99,119.99,https://www.zalando.it/under-armour-flow-futr-x-unisex-scarpe-da-basket-blackcastlerockblaze-orange-un242a0nk-q11.html?size=47,FLOW FUTR X UNISEX,scarpe da basket,black/castlerock/blaze orange
669,Scarpe Sportive,47.0,Uomo,PUMA,FUTURE 8 ULTIMATE - Scarpe da calcetto con tacchetti - white/matte silver,230.0,230.0,https://www.zalando.it/puma-future-8-ultimate-ag-scarpe-da-calcetto-con-tacchetti-whitematte-silver-pu142a1wj-a11.html?size=47,FUTURE 8 ULTIMATE,scarpe da calcetto con tacchetti,white/matte silver
670,Scarpe Sportive,47.0,Uomo,ASICS,GEL-TACTIC 12 - Scarpe da pallavolo - midnight/white,98.99,109.99,https://www.zalando.it/asics-gel-tactic-12-scarpe-da-pallavolo-midnightwhite-as142a10q-k13.html?size=47,GEL tactic 12,Scarpe da pallavolo,midnight/white
671,Scarpe Sportive,47.0,Uomo,PUMA GOLF,AVANT - Scarpe da golf - white/deep navy/speed blue,179.99,179.99,https://www.zalando.it/puma-golf-avant-scarpe-da-golf-whitedeep-navyspeed-blue-pu542a03q-a11.html?size=47,AVANT,scarpe da golf,white/deep navy/speed blue
672,Scarpe Sportive,47.0,Uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white-dark coal,23.0,23.0,https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-dark-coal-pu115i000-a15.html?size=47,POPCAT UNISEX,ciabatte da mare,white-dark coal
673,Scarpe Sportive,47.0,Uomo,MIZUNO,WAVE SKYRISE 6 - Scarpe da corsa su strada - light grey/black/blue,149.99,149.99,https://www.zalando.it/mizuno-wave-skyrise-6-scarpe-da-corsa-su-strada-light-greyblackblue-m2742a0l5-c11.html?size=47,WAVE SKYRISE 6,scarpe da corsa su strada,light grey/black/blue
